Title	Alternate Title	Translated Title	Interviewee	Interviewer	Transcriber	Summary	Note	Subject	Genre	Coverage Temporal	Interview Location	Publisher	Publication Date	Publication Place	Interview Date	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Availability	Object ID	Digital ID	Full Text	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																																	ENTREVISTA A CONCHITA FERNANDEZ, REALIZADA POR TAD SZULC,  EL DIA 24 DE ABRIL DE 1985.  83  CONCHITA FERNANDEZ.- Usted dirá por dónde quiere que  comience, si comienzo por mi vida laboral y política y  vengo a caer después en las otras cosas. Dir; si quiere  conocer el personaje que ya creo que conoce.  TAD SZULC.- Hay que situar las cosas dentro de la  galaxia revolucionaria.  CONCHITA FERNANDEZ.- Dentro de estos 56 años que llevo  trabaj ando.  TAD SZULC.- ¿Usted es de La Habana?  CONCHITA FERNANDEZ.- Nací en La Habana, mi padre era  gallego de Orence y mi madre era puertorriqueña.  TAD SZULC. - ¿Usted se formó aquí en La Habana?  CONCHITA FERNANDE~.- En La Habana todo el tiempo,  porque, aparte de que mis padres residían aquí en La Habana,  éramos de una extracción muy humilde. Yo empiezo a incoT-pararme  a trabajos fuera de La Hab ana y todo, cuando  comienzo a trabajar ya en el Ministerio de la Agricultura  hoy, el INRA entonces. Mi vida toda se desenvolvió en  La Habana.  TAD SZULC.- ¿Usted se formó ...  CONCHITA FERNANDEZ·.- Estudié la educación primaria,  después me preparé para ingresar en la Escuela Normal de  maestros~ porque tenía una abuela que quería que yo fuera  ...  maestra,para 10 cual no tenía vocación, pero mi mámá un  poco se dejaba llevar por ella. Fui por dos veces a examen  y afortunadamente me suspendieron. Entonces estudié taqui-grafía  y mecanografía para empezar a trabajar, para ayudar 																2010-03-16	2010-03-16	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0189/id/268	268	269.pdfpage	/chc0189/image/269.pdfpage
Page 2																																	-2- AL-G-ll wA  a mi madre porque estaba, incluso, criando un hermano.  Empecé a trabajar a los 16 años corno taquígrafa-mecan6-  grafa y después estudié el inglés, inglés que practico muy  poco, solo lo hablo prácticamente cuando salgo de Cuba.  Muchos periodistas y otras personas me han preguntado  qué carrera yo estudié y qué terminé en la universidad. Yo  les digo: Los estudios mío~ o lo que yo pueda saber, alguna  preparaci6n de tipo político, educacional o cultural, fue  en la universidad de la vida, que para mí es la mej~r uni -  ~sidad; porque empezando a trabajar con Fernándo Ortiz  que es un sabio, fue un sabio y continúa su vigencia como  tal, y la gente que lo rodeaba, todos los intelectuales de la  época. · ~ . Yo , con 16 años, salía de un hogar muy humilde  para ir a trabajar corno una simple mecan6grafa, en un  bufete donde integraba el bufete don Fernando Ortiz.  TAD ·SZULC. - ¿De qué año habla?  CONCHITA FERNANDEZ". - Veintinueve.  - -  ·Estaba en el bufete de don Fernando Ortiz, dnde en ese  momento dejaba de ser su secretario Rubén Martínez Villena .  hacía un mes, porque en ese momento partía para la -Uni6n  Soviética para un sanatorio, porque Rubén ya estaba muy - afectado de los pulmones, y estaba de secretario en ese  momento Pablo de la Torriente Brau, a quien ya yo conocía  ~ -----  desde el año 1926, del club atlético, por"que él era muy  deportista y entonces yo estaba con dos compañeras que una  era la novia de él, que después fue su esposa, y otras  dos compañeras más que estaban estudiando para maestras,  que también querían que yo fuera maestra corno ellas y yo  les decía que no.  Conocía- -a -P-ab-l-o desde el año 1926. Eso también me ---  ayud6 mucho porque caí en un ambiente ... Quizás yo tenía 																2010-03-16	2010-03-16	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0189/id/269	269	270.pdfpage	/chc0189/image/270.pdfpage
Page 3																																	. - '3 ... AL-G-l'l-A  inquietudes que no había podido desarrollar, ni sab!a q~e  las tenía, porque de dónde las iba a tener, si la forma '  en que yo vivía era una forma tan -pobre, tan humilde y,  además, eran 16 años en aquella etapa.  Ahí comenzarnos con Pablo. Rubén se va, yo me quedo  de mecanógrafa del bufete, y vienen las tánganas' --como  les llamaban los estuidantes--, las tánganas estudiantiles  aquellas, la del 30 de septiembre donde cae Trejo y cae  herido Pablo e Isidro Figueroa, un dirigente obrero que  murió hará dos o tres años y que posteriormente fue de la  Sección Obrera del Partido Ortodoxo.  A partir de ese momento, Pablo em~za a ser perseguido,  cae preso y el doctor Ortiz me plantea '- ':yo trabajaba de  2:00 a 6:00 en el bufete-- que si después de las 6:0Q puedo  ayudar. --Se 10 planteo yo, para q~e , él na t1;lviera que  incaporar a otra persona y dej ar de pagarle a Pablo. Le  dije: Doctor, yo puedo trabajarle después de las 6:00 de  la tarde a usted--él llegaba al bufete a esa hora--;  aunque yo al llegar a la casa tenía que trabajar mucho,  en un cuarto donde vivíamos. Ahí fue donde empecé a tra-bajar  directamente con Ortiz, hasta que él se va para el  exilio a fines de 1930, produce un manifiesto contra  ~ prórroga de poderes de Machado y en contra de los cri-menes  y los robos de Machado y se va para Estados Unidos;  se va precisamente en el "Florida", en el ferri, y me  dice: 'Mañana cuando yo llegue 1 que debo llegar a las  7:00, ta repartes este manifiesto", que era muy violento.  Ya empezó a ser aquel bufete un foco de revolución y  un foco de protesta contra la dictadura de Machado.  TAD SZULG.- ¿En qué estaba Chibás en aquel momento?  CONCHITA FERNANDEZ·. - Era muy joven, pero ya Chi bás  • 																2010-03-16	2010-03-16	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0189/id/270	270	271.pdfpage	/chc0189/image/271.pdfpage
Page 4																																	- -4- ALG-Il-A  había sido expulsado de la universidad en el año 1927.  TAD S~ULC.- ¿Usted ya 10 conocía?  CONCHITA FERNANDEZ-.- A Edy, de nombre, personalmente  no.  TAD SZULC.- ¿Cuándo usted 10 conoci6 a él?  CONCHITA FERNANDEZ-. - Personalmente 10 conozco sin  haber estado trabajando con él, siendo todavía yo secreta-ria  de Fernando Ortiz. El sale delegado a la Constituyente  en el año 1940, yo voté por él porque ya yo tenía voto y  por simpatía; yo no 10 conocía.  ¿Por qué partido?  CONCHITA FERNANDEZ-.- Por el Auténtico. Los delegados  a la Constituyente no iban por partido todavía, sino iban  como persona. Yo creo que todavía no era como partido,  porque después él fue dirigente del Partido Auténtico .  En 1944 sale senador por el Partido Auténtico; en 1940 sale  delegado a la Constituyente, convocan a elecciones y sale J  representante de la Cámara, pero siempre por el Partido  Auténtico.  Yo 10 conocí en una visita que le hizo en el año 1934  a Fernando Ortiz. Porque a Fernando Ortíz se le reco-mend6  en el gobierno aquel efímero de Grau San Martín ..•  Después que cae Machado 'viene el gohierno de los 100 días, - viene lo de Edy de las 24 hora~. Nosotros estábamos con  Ortiz ya, en el 1934 cuando él regresa me plantea que si  yo puedo trabajar con él por las tardes y puedo trabajar  las mañanas en el bufete; o sea, por la. mañana en el  bufete y por la tarde con él. Eso para mí significaba  incluso ganar un poco más, muy poco, pero en aquella etapa  el salario era muy bajo y con muy poca cosa tú vivías; 																2010-03-16	2010-03-16	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0189/id/271	271	272.pdfpage	/chc0189/image/272.pdfpage
Page 5																																	- -5- ALG-ll-A  mi mama seguía cosiendo para fuera, porque tuvo que dejar  de lavar yeso por una operaci6n que se hizo en un seno.  Le dije: Sí, c6mo no, Fernándo~ , yo puedo trabajar por  las tardes con usted. Entonces empecé a trabajar con él  por las tardes y las mañanas en el bufete. No iba a almor-zar  ni nada, porque era mucho 10 que tenía que escribir a  maquina.  TAD SZULG. - A Chibas 10 eligen en 1940 para la Cons-tituyente,  ¿cuando se conocieron?  aNCHITA FERNANDEZ-.- Personalmente 10 conocí en el  año 1934,cuarrb esta el doctor Ortiz haciendo un proyecto  de Constituci6n transitoria que Grau quería pone~ en vigor.  El, con Carlos Rafael y con otro que era -del Directorio  Estudiantil, que se fue re Cuba ...  TAD ZSULG.- ¿Carlos Rafael entonces era profesor  en la Universidad?  CONCHITA FERNANDEZ.- No, Carlos Rafael no era profesor  de la Universidad todavía, era muy joven. Yo 10 ubicaba  todavía como un estudiante, porque yo conozco a Carlos Rafa~  en el año 1930.  TAD SZULG.- El tiene ahora 74 años.  CONCHITA FERNANDEZ-.- No, 72 cumple ahora en mayo.  TAD SZULG.- ¿Cuando 10 conoce, ya él estaba en la  política y esas cosas?  CONCHITA FERNANDEZ-.- Carlos lo ha declarado incluso  en una entrevista que le hicieron cuando sus 70 años,  que ~l está en Cienfuegos, porque ~l estudi6 en Cienfuegos,  él es de Cienfuegos, pero él se incorpora de verdad después  de 10 de Trejo, del 30 de septiembre, viene para La Habana  y se incorpora. ~ 																2010-03-16	2010-03-16	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0189/id/272	272	273.pdfpage	/chc0189/image/273.pdfpage
Page 6																																	•  ,  - -6 - AL-G-ll-A  Yo creo que ahí es donde Carlos ya empieza a estudiar  en la Universidad. Cuando yo lo conozco en 1934, que iban  a ver a Ortiz él y Edy para revisar y ver el proyecto ese  de Constituci6n en el que él estaba metido también, él to-todavía  era estudiante. Carlos en aquel momento era muy  joven igual que yo.  TAD SZULC.- Así que muchos de ustedes se conocen hace  casi 50 años.  CONCHITA FERNANDEZ-. - Cuando yo cumplí mis 70 años,  Carlos me hace una carta muy linda donde me dice: "los  que hemos estado luchando durante 50 años por lo que hoy  tenemos". Y, efectivamente, yo lo conocí en el 30, hace  50 años.  TAD SZULC.- ¿Hay otros que usted conoce de la gente  que todavía vive?  CONCHITA FERNANDE~.- Que están vivas y que están  en el Gobierno.  De aquella etapa, Ni-colás- Gu-illén, por ejemplo. N'icolás Guillén fue posterior, cuando Fernando O:tiz lo  quiere conocer, que soy yo quien lo localiza.  TAD SZULC.- ¿Ita ya bien conocido Guillén?  CONCHITA FERNANDEZ-. - Era conocido, pero no muy  conocido. Había publicado dos o tres cosas muy buenas:  "Motivos de son", "Songoro Cosongo", qUe a Fernando Ortiz, ..--  que era un etn6grafo eminente y escribía mucho sobre los  orígenes afrocubanos, cosas del folclor, de los ñáñigos,  de todas esas cuestiones, le interes6 mucho aquella poesía  y entonces me pidi6 que le localizara al autor de aquella  poesía, Nicolás Guillén, que él no sabía quién era. Eso debe  haber sido por el año 1935, cuando llega él a la oficina de  Ortiz y yo lo conoco .  • 																2010-03-16	2010-03-16	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0189/id/273	273	274.pdfpage	/chc0189/image/274.pdfpage
Page 7																																	-7- ALG-ll-A  Está Julio Le Rivenrend ~-director hoy de la Biblioteca  Nacional. Está José Antonio Portuondo.  Amigo mío también; sería bueno que  pudieras verlo.  CONCHITA FERNANDEZ·. - Portuondo estuvo muy unido a  Ortiz y Le Riverend también . Le Riverend ha hecho cosas,  cuando el centenario de Ortiz yo le di un conversatorio  en la Biblioteca.  Portuondo es vicepreidente de la  UNEAC, es director del Instituto de Lingüística y fue  Embajador en el Vaticano.  CONCHITA FERNANDEZ.- y está muy claro, muy bi.en,  un hombre de un valor extraordinario.  Mire, todos los compañeros que usted se encuentre  alrededor de los 70 y los 75, son de esa etapa y afortuna­damente  los hay con mucha vigencia, con mucha claridad  mental y una gran lucidez.  Todos esos compañeros que yo le decía, nos conocemos  hace 50 años, y no solamente que nos hayamos cono.cido, que  estemos en la misma línea, que estemos trabajando y luchando  por lo mismo y dando por lo mismo lo que tenemos, sino que  conservamos una gran amistad, aparte de la cosa política  nos queremos mucho.  TAD SZULC.- Momentos buenos y malos.  CONCHITA FERNANDEZ.- Exactamente, en los momentos  buenos y malos. No es una gente que uno diga ~-salvo en  los que se fueron, l6gicament·e· .... , de los que están aquí,  yo no quiero saber de él ~ él no quiere saber de Conchita.  Esa es una cosa muy bonita . 																2010-03-16	2010-03-16	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0189/id/274	274	275.pdfpage	/chc0189/image/275.pdfpage
Page 8																																	, -8- ALG-11-A  Las tertulias de la UNEAC, los jueves, que son maravi-llosas,  yo voy cada vez que me puedo escapar del trabajo,  porque yo nunca sé a la hora qu~ salgo, y siempre me en­cuentro  cantidad de compa~os de la etapa de Fernando Ortiz,  que tienen setenta y pico, 72, 70, 75, 68, pero nos vemos  con un cariño extraordinario. Algunos están retirados,  otros están jubilados, pero siguen cooperando, siguen tra-bajando  y además siguen luchando.  TAD SZULC.- Siguen participando de l~cosas.  CONCHITA FERNANDEZ . - C6mo no, el que no está  CDR, está en las M--TT. TAD SZULC.- Es curioso. Yo no me daba cuenta,  sencillamente supongo que por no haber pensado en eso,  que efectivamente existe un grupo de personas revo1ucio-narias  ya de 50 años de trabajo, de lucha, pero yo nunca  pensé en eso como un fen6meno aparte.  CONCHITA FERNANDEZ'. - Eso es muy bonito '--repi to--  porque nosotros los descendientes de españoles somos muy  sentimentales y muy sensibles, 10 es nuestro Jefe, 10 es  Carlos, 10 soy ycr--y perd6neme que yo misma me 10 diga--,  somos muy sensibles a todas esas cosas, según uno va  teniendo años se sensibiliza más; soy una gente demasiado  sensible y a veces me hace daño. Pero es muy bonito eso  que usted acaba de decir, que se haya encontrado un grupo  de gente asi que a tra~és de 50 años mantienen el cariño,  mantinen la amistad.  A Wi1fredo Lam, por ejemplo, yo 10 conocí con Fernando - Ortiz, di un conversatorio con él en la Galería de la Habana  cuando cump1i6 Ortiz los 100 años. -- 																2010-03-16	2010-03-16	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0189/id/275	275	276.pdfpage	/chc0189/image/276.pdfpage
Page 9																																	-9- ALG-ll-A  y te vas encontrando una serie de gente como PortocaFrero,  me lo present6 Fernando Ortiz allí en el parque San Juan  de Dios en el año 1937, era de mi edad.  TAD SZULC.- ¿Portocarrero era una personalidad muy  política también?  CONCHITA FERNANDEZ".- Portocarrero estaba muy integrado,  aunque políticamente recibi6 muhísimos honore~ de nuestro  Gobierno, fue una cosa muy lamentable que muriera.  Víctor Manuel, el gran pintor, lo conocí yo también  -cuando Fernando Ortiz, conservamos la amistad hasta que  muri6. Porque allí había de todo. A mí me dicen muchas  veces los compañeros de trabajo: "Ven acá, chica, tú estás  en la agricultur~'--yo trabajo mucho con los campesinos,  en la ANAP, tengo la Federaci6n y tengo el Partid-o--, me  dicen: "Tú lo mismo estás con un intelectual, que con un  poeta, que con un escritor". Digo: Ah, pero es que ustedes  no saben d6nde yo empecé, yo empecé en la cuna donde se  formaron de verdad los que hoy son grandes intelectuales  y grandes escritores, de los que están vivos y muchos de  los que han muerto. Me formé ahí, usted~s no se dan cuenta.  Dicen: "Es verdad". Y son 56 años de trabajo. Mire el  tiempo que hace que yo me podía haber retirado.  TAD SZULC.- Sería aburrido para usted.  CONCHITA FERNANDEZ-. -- Me moriría de tristeza. Y qui-siera  morirme así conversando, no tirada ahí.  TAD ~ULC.- ¿A Fidel usted lo conoci6 con Edy Chibás?  CONCHITA FERNANDEZ. -- Yo conozco a Fidel  en que él era un dirigente universitario.  TAD SZULC.- Hábleme de la primera vez que se conu-cieron.  CONCHITA FERNANDEZ.- El engarce personal entre Fidel  y nosotros es cuando Chibás funda el Partido Ortodoxo, en ------- 																2010-03-16	2010-03-16	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0189/id/276	276	277.pdfpage	/chc0189/image/277.pdfpage
Page 10																																	•  -10-· ALG-I1-A  el afio 1947. Si mal no recuerdo, ya conozco a Fide1, per-sona1mente,  en la torre del L6pez Serrano, en el edificio  L6pez Serrano, que está en el Vedado, donde vivía Chibás,  y ahí se reunían.  El funda el Partido en el afio 1947 y ahí mismo dentro  del Partido se crearon una serie de secciones· - -10 que  hoy son departamentos, entonces eran se¿ciones--, la secci6n  obrera, la secci6n campesina, la secci6n femenina y la  juventud ortodoxa, adonde se incorpora Fide1 porque era )  muy joven.  . TAD .. 'SZULC ~ . . En 1947 él tenía 21 afias .  CONCHITA FERNANDEZ.- Pero ya era más que conocido.  TAD SZULG.- Yo tengo una persona en Miami y ella  se busc6 todos los peri6dicos cubanos publicados desde el  afio 1944 al Mancada, con todas las referencias a Fide1.  Casi todos los peri6dicos daban su informaci6n, el propio  "Diario de la Marina". Yo pienso que tenemos una co1ecci6n  completa. Además, si quisieran ustedes le hacemos copia  de todo eso.  CONCHITA FERNANDEZ·. - Aquí debe estar en la biblioteca,  pero sería muy importante.  TAD SZULG.- Entonces, Fide1 era conocido.  CONCHITA FERNANDEZ·.- Sí, ya era conocido como un  dirigente estudiantil, como un luchador, como un dirigente  estudiantil y como un peleador dentro de la fila de los  estudiantes. Yo 10 conozco en ~7 cuando él llega con - un grupo de muchachos de la juventud ortodoxa, porque Edy  era mucho mayor que él. ---- TAD SZULD.- ¿Recordaría el día que vino Fide1 por  primera vez a la torre?  ' . 																2010-03-16	2010-03-16	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0189/id/277	277	278.pdfpage	/chc0189/image/278.pdfpage
